X,Y,Price,Square_Feet,Address,Date_Sold
-112.335075,34.613399,"$310,000","1,604","7400 E Paseo Dulce, Prescott Valley, AZ 86314",9/19/2022
-112.257216,34.554936,"$310,000","1,374","831 N Old Chisholm Trl, Dewey, AZ 86327",10/7/2022
-112.011844,34.714276,"$310,000","1,168","1419 E Hermits Ln, Cottonwood, AZ 86326",10/10/2022
-112.016734,34.708996,"$310,000","1,632","972 E Chaparral Dr, Cottonwood, AZ 86326",9/30/2022
-112.354016,34.59651,"$312,000","1,220","6303 E Antelope Ln, Prescott Valley, AZ 86314",1/10/2023
-112.324352,34.593664,"$312,000","1,289","8026 E Prescott Rd, Prescott Valley, AZ 86314",1/23/2023
-111.794188,34.518974,"$312,000","1,588","3437 E Ripple Rd, Camp Verde, AZ 86322",8/17/2022
-112.356668,34.588234,"$315,000","1,510","3123 N Prescott East Hwy, Prescott Valley, AZ 86314",1/17/2023
-112.373403,34.571491,"$315,000","1,512","1955 N Quartz Dr, Prescott, AZ 86301",8/31/2022
-112.412592,34.429575,"$315,000","1,512","3190 E Bluff Rd, Prescott, AZ 86303",9/19/2022
-111.788645,34.637158,"$315,000","1,248","3575 E Broken Arrow Rd, Rimrock, AZ 86335",8/30/2022
-111.772063,34.648942,"$315,000","1,119","5450 N Kramer Dr, Rimrock, AZ 86335",10/24/2022
-111.977331,34.703625,"$315,000","1,120","4476 E Del Rio Dr, Cottonwood, AZ 86326",11/16/2022
-111.977564,34.689689,"$315,000","1,519","4506 E Prairie Ln, Cottonwood, AZ 86326",8/31/2022
-112.027074,34.716405,"$315,000","1,152","1265 S Viejo Dr, Cottonwood, AZ 86326",9/15/2022
-112.147609,34.341751,"$315,000","1,372","17940 E Trails End Rd, Mayer, AZ 86333",8/23/2022
-112.144535,34.07621,"$315,000","1,200","19415 E Wyatt Way, Black Canyon City, AZ 85324",11/8/2022
-112.375019,34.569786,"$315,000","876","1832 N Emerald Dr, Prescott, AZ 86301",11/3/2022
-112.49164,34.546701,"$315,250","640","1402 Linwood Ave, Prescott, AZ 86305",9/23/2022
-112.00797,34.719568,"$318,000","1,320","1715 E Vista De Montana, Cottonwood, AZ 86326",11/29/2022
-111.760498,34.779416,"$318,500","657","115 E Cortez Dr UNIT 211, Sedona, AZ 86351",9/21/2022
-112.102728,34.305428,"$319,000","1,206","20572 E Wagon Way, Mayer, AZ 86333",11/30/2022
-112.750384,34.223695,"$319,000","2,168","22473 S Oak Way, Yarnell, AZ 85362",2/7/2023
-112.102728,34.305428,"$319,000","1,206","20572 E Wagon Way LOT 937, Mayer, AZ 86333",11/30/2022
-112.359995,34.590784,"$320,000","1,206","3257 N Castle Dr, Prescott Valley, AZ 86314",11/15/2022
-112.443037,34.482097,"$320,000","944","1101 E Elk Trl, Prescott, AZ 86303",1/7/2023
-112.460182,34.521712,"$320,000","1,100","610 La Canonita Way, Prescott, AZ 86303",10/19/2022
-112.432103,34.746334,"$320,000","1,160","1870 Roadrunner Ln, Chino Valley, AZ 86323",9/21/2022
-112.444443,34.736487,"$320,000","1,284","1167 Sierra Vista Dr, Chino Valley, AZ 86323",9/2/2022
-112.443884,34.736718,"$320,000","971","1227 Sierra Vista Dr, Chino Valley, AZ 86323",9/2/2022
-112.064614,34.768628,"$320,000","1,235","1502 1st South St, Clarkdale, AZ 86324",1/27/2023
-112.276706,34.532019,"$320,000","1,356","10820 E Janet Way, Dewey, AZ 86327",10/11/2022
